X,Y,Index_,event_unique_id,occurrencedate,reporteddate,premisetype,ucr_code,ucr_ext,offence,reportedyear,reportedmonth,reportedday,reporteddayofyear,reporteddayofweek,reportedhour,occurrenceyear,occurrencemonth,occurrenceday,occurrencedayofyear,occurrencedayofweek,occurrencehour,MCI,Division,Hood_ID,Neighbourhood,Lat,Long,FID
-79.455513,43.7176437,60875,GO-2016492877,2016-03-21T04:00:00.000Z,2016-03-22T04:00:00.000Z,Commercial,2132,200,Theft From Motor Vehicle Over,2016,March,22,82,Tuesday   ,16,2016,March,21,81,Monday    ,21,Theft Over,D32,31,Yorkdale-Glen Park (31),43.7176437,-79.455513,2325
-79.5595551,43.624073,60885,GO-2016496119,2016-03-23T04:00:00.000Z,2016-03-23T04:00:00.000Z,Outside,2132,200,Theft From Motor Vehicle Over,2016,March,23,83,Wednesday ,7,2016,March,23,83,Wednesday ,5,Theft Over,D22,14,Islington-City Centre West (14),43.624073,-79.5595551,2326
-79.600692699999982,43.6864471,66640,GO-20152111123,2015-12-02T05:00:00.000Z,2015-12-10T05:00:00.000Z,Outside,2132,200,Theft From Motor Vehicle Over,2015,December,10,344,Thursday  ,8,2015,December,2,336,Wednesday ,0,Theft Over,D23,1,West Humber-Clairville (1),43.6864471,-79.6006927,2327
-79.4124451,43.7674751,77954,GO-2016712984,2016-04-25T04:00:00.000Z,2016-04-26T04:00:00.000Z,Commercial,2130,210,Theft Over,2016,April,26,117,Tuesday   ,17,2016,April,25,116,Monday    ,21,Theft Over,D32,51,Willowdale East (51),43.7674751,-79.4124451,2328
-79.4133911,43.684166,66644,GO-20152068609,2015-12-02T05:00:00.000Z,2015-12-03T05:00:00.000Z,Apartment,2130,210,Theft Over,2015,December,3,337,Thursday  ,13,2015,December,2,336,Wednesday ,9,Theft Over,D13,96,Casa Loma (96),43.684166,-79.4133911,2329
-79.4347916,43.7199783,75060,GO-2017471539,2017-01-30T05:00:00.000Z,2017-03-16T04:00:00.000Z,House,2130,210,Theft Over,2017,March,16,75,Thursday  ,13,2017,January,30,30,Monday    ,0,Theft Over,D32,32,Englemount-Lawrence (32),43.7199783,-79.4347916,2330
-79.2624893,43.7888451,72817,GO-2016713865,2016-04-26T04:00:00.000Z,2016-04-27T04:00:00.000Z,Commercial,2130,210,Theft Over,2016,April,27,118,Wednesday ,15,2016,April,26,117,Tuesday   ,18,Theft Over,D42,128,Agincourt South-Malvern West (128),43.7888451,-79.2624893,2331
-79.2923889,43.6952782,75069,GO-20161169076,2016-05-20T04:00:00.000Z,2016-07-06T04:00:00.000Z,Apartment,2130,200,Theft From Mail / Bag / Key,2016,July,6,188,Wednesday ,8,2016,May,20,141,Friday    ,0,Theft Over,D54,61,Taylor-Massey (61),43.6952782,-79.2923889,2332
-79.5410843,43.6145058,69453,GO-2016442877,2016-03-02T05:00:00.000Z,2016-03-14T04:00:00.000Z,Outside,2132,200,Theft From Motor Vehicle Over,2016,March,14,74,Monday    ,13,2016,March,2,62,Wednesday ,14,Theft Over,D22,20,Alderwood (20),43.6145058,-79.5410843,2333
-79.5284805,43.7105408,72843,GO-20161636623,2016-09-14T04:00:00.000Z,2016-09-15T04:00:00.000Z,House,2130,210,Theft Over,2016,September,15,259,Thursday  ,20,2016,September,14,258,Wednesday ,2,Theft Over,D12,23,Pelmo Park-Humberlea (23),43.7105408,-79.5284805,2334
-79.4997482,43.7665749,75094,GO-20161604818,2016-09-06T04:00:00.000Z,2016-09-09T04:00:00.000Z,House,2130,200,Theft From Mail / Bag / Key,2016,September,9,253,Friday    ,20,2016,September,6,250,Tuesday   ,9,Theft Over,D31,27,York University Heights (27),43.7665749,-79.4997482,2335
-79.3894577,43.6729317,69477,GO-20161133055,2016-06-24T04:00:00.000Z,2016-06-28T04:00:00.000Z,Outside,2132,200,Theft From Motor Vehicle Over,2016,June,28,180,Tuesday   ,20,2016,June,24,176,Friday    ,22,Theft Over,D53,95,Annex (95),43.6729317,-79.3894577,2336
-79.5587082,43.6440735,77962,GO-2016769396,2016-05-02T04:00:00.000Z,2016-05-05T04:00:00.000Z,Commercial,2130,210,Theft Over,2016,May,5,126,Thursday  ,10,2016,May,2,123,Monday    ,20,Theft Over,D22,14,Islington-City Centre West (14),43.6440735,-79.5587082,2337
-79.2908173,43.7671013,66659,GO-20152107354,2015-12-09T05:00:00.000Z,2015-12-09T05:00:00.000Z,Outside,2130,210,Theft Over,2015,December,9,343,Wednesday ,8,2015,December,9,343,Wednesday ,1,Theft Over,D41,126,Dorset Park (126),43.7671013,-79.2908173,2338
-79.26577,43.696003,72844,GO-20161639199,2016-09-14T04:00:00.000Z,2016-09-15T04:00:00.000Z,Outside,2132,200,Theft From Motor Vehicle Over,2016,September,15,259,Thursday  ,6,2016,September,14,258,Wednesday ,17,Theft Over,D41,122,Birchcliffe-Cliffside (122),43.696003,-79.26577,2339
-79.3783493,43.6662865,75098,GO-20161588882,2016-09-06T04:00:00.000Z,2016-09-07T04:00:00.000Z,Apartment,2130,200,Theft From Mail / Bag / Key,2016,September,7,251,Wednesday ,14,2016,September,6,250,Tuesday   ,15,Theft Over,D51,74,North St.James Town (74),43.6662865,-79.3783493,2340
-79.3980484,43.6529465,69515,GO-20161178911,2016-07-06T04:00:00.000Z,2016-07-06T04:00:00.000Z,Outside,2132,200,Theft From Motor Vehicle Over,2016,July,6,188,Wednesday ,2,2016,July,6,188,Wednesday ,1,Theft Over,D52,78,Kensington-Chinatown (78),43.6529465,-79.3980484,2341
-79.5444183,43.6420212,69545,GO-2016369719,2016-03-02T05:00:00.000Z,2016-03-02T05:00:00.000Z,House,2130,210,Theft Over,2016,March,2,62,Wednesday ,14,2016,March,2,62,Wednesday ,12,Theft Over,D22,14,Islington-City Centre West (14),43.6420212,-79.5444183,2342
-79.5260696,43.6107941,69553,GO-20161145140,2016-07-06T04:00:00.000Z,2016-07-06T04:00:00.000Z,Commercial,2130,210,Theft Over,2016,July,6,188,Wednesday ,10,2016,July,6,188,Wednesday ,7,Theft Over,D22,17,Mimico (includes Humber Bay Shores) (17),43.6107941,-79.5260696,2343
-79.3791351,43.6459885,69577,GO-2016378078,2016-03-02T05:00:00.000Z,2016-03-03T05:00:00.000Z,Other,2130,210,Theft Over,2016,March,3,63,Thursday  ,21,2016,March,2,62,Wednesday ,12,Theft Over,D52,76,Bay Street Corridor (76),43.6459885,-79.3791351,2344
-79.352623,43.6654892,69610,GO-20161183455,2016-07-06T04:00:00.000Z,2016-07-06T04:00:00.000Z,Outside,2130,200,Theft From Mail / Bag / Key,2016,July,6,188,Wednesday ,17,2016,July,6,188,Wednesday ,17,Theft Over,D55,68,North Riverdale (68),43.6654892,-79.352623,2345
-79.3813324,43.6511726,69755,GO-20161248123,2016-07-16T04:00:00.000Z,2016-07-16T04:00:00.000Z,Apartment,2133,200,Theft Over - Shoplifting,2016,July,16,198,Saturday  ,15,2016,July,16,198,Saturday  ,13,Theft Over,D52,76,Bay Street Corridor (76),43.6511726,-79.3813324,2346
-79.2836304,43.7182388,69763,GO-20161241501,2016-07-05T04:00:00.000Z,2016-07-15T04:00:00.000Z,Outside,2132,200,Theft From Motor Vehicle Over,2016,July,15,197,Friday    ,12,2016,July,5,187,Tuesday   ,18,Theft Over,D41,120,Clairlea-Birchmount (120),43.7182388,-79.2836304,2347
-79.2543335,43.8358841,69805,GO-2016413420,2016-03-09T05:00:00.000Z,2016-03-09T05:00:00.000Z,Outside,2132,200,Theft From Motor Vehicle Over,2016,March,9,69,Wednesday ,15,2016,March,9,69,Wednesday ,15,Theft Over,D42,130,Milliken (130),43.8358841,-79.2543335,2348
-79.51776120000001,43.630878399999986,69814,GO-2016417191,2016-03-09T05:00:00.000Z,2016-03-10T05:00:00.000Z,Commercial,2132,200,Theft From Motor Vehicle Over,2016,March,10,70,Thursday  ,7,2016,March,9,69,Wednesday ,17,Theft Over,D22,16,Stonegate-Queensway (16),43.6308784,-79.5177612,2349
-79.498626700000017,43.7323074,69898,GO-20169012921,2016-11-03T04:00:00.000Z,2016-11-03T04:00:00.000Z,House,2130,200,Theft From Mail / Bag / Key,2016,November,3,308,Thursday  ,9,2016,November,3,308,Thursday  ,9,Theft Over,D31,26,Downsview-Roding-CFB (26),43.7323074,-79.4986267,2350
-79.381073,43.6505699,69964,GO-20161428064,2016-07-21T04:00:00.000Z,2016-08-13T04:00:00.000Z,Commercial,2130,210,Theft Over,2016,August,13,226,Saturday  ,10,2016,July,21,203,Thursday  ,7,Theft Over,D52,76,Bay Street Corridor (76),43.6505699,-79.381073,2351
-79.3239899,43.6718445,69965,GO-20161405721,2016-07-21T04:00:00.000Z,2016-08-08T04:00:00.000Z,Outside,2130,200,Theft From Mail / Bag / Key,2016,August,8,221,Monday    ,20,2016,July,21,203,Thursday  ,18,Theft Over,D55,65,Greenwood-Coxwell (65),43.6718445,-79.3239899,2352
-79.3488159,43.689434099999986,69966,GO-20161589852,2016-07-21T04:00:00.000Z,2016-09-07T04:00:00.000Z,Commercial,2130,200,Theft From Mail / Bag / Key,2016,September,7,251,Wednesday ,16,2016,July,21,203,Thursday  ,9,Theft Over,D54,58,Old East York (58),43.6894341,-79.3488159,2353
-79.2872772,43.7269402,69990,GO-2016456379,2016-03-16T04:00:00.000Z,2016-03-16T04:00:00.000Z,Commercial,2130,210,Theft Over,2016,March,16,76,Wednesday ,17,2016,March,16,76,Wednesday ,17,Theft Over,D41,120,Clairlea-Birchmount (120),43.7269402,-79.2872772,2354
-79.3797607,43.6931686,70088,GO-20161285354,2016-07-21T04:00:00.000Z,2016-07-22T04:00:00.000Z,Other,2130,215,Theft Over - Bicycle,2016,July,22,204,Friday    ,8,2016,July,21,203,Thursday  ,18,Theft Over,D53,98,Rosedale-Moore Park (98),43.6931686,-79.3797607,2355
-79.2833176,43.685894,70093,GO-20161415185,2016-07-21T04:00:00.000Z,2016-08-11T04:00:00.000Z,House,2130,215,Theft Over - Bicycle,2016,August,11,224,Thursday  ,12,2016,July,21,203,Thursday  ,12,Theft Over,D41,122,Birchcliffe-Cliffside (122),43.685894,-79.2833176,2356
-79.3757629,43.6474609,70094,GO-20169007701,2016-07-21T04:00:00.000Z,2016-07-25T04:00:00.000Z,Other,2133,200,Theft Over - Shoplifting,2016,July,25,207,Monday    ,14,2016,July,21,203,Thursday  ,18,Theft Over,D51,75,Church-Yonge Corridor (75),43.6474609,-79.3757629,2357
-79.5495529,43.7598152,70101,GO-2016474620,2016-03-17T04:00:00.000Z,2016-03-19T04:00:00.000Z,Outside,2130,210,Theft Over,2016,March,19,79,Saturday  ,15,2016,March,17,77,Thursday  ,14,Theft Over,D31,21,Humber Summit (21),43.7598152,-79.5495529,2358
